maintaing,maintaining,cohort
hammrage,hemorrhage,cohort
dycrhymia,dysthymia,cohort
thoat,throat,cohort
headiness,headedness,cohort
excresise,exercise,cohort
reation,reaction,cohort
inflamtion,inflammation,cohort
earaches,ear aches,cohort
seizers,seizures,cohort
seizer,seizure,cohort
infecrtion,infection,cohort
suppement,supplement,cohort
druing,during,cohort
thight,tight,cohort
utin,urine,cohort
streptococcous,streptococcus,cohort
vacciantions,vaccinations,cohort
teethtin,teething,cohort
hearburn,heartburn,cohort
vacciantion,vaccination,cohort
hemerrhoid,hemorrhoid,cohort
impetago,impetigo,cohort
bonchiolitis,bronchiolitis,cohort
streptoccous,streptococcus,cohort
anticlotting,anti clotting,cohort
headcold,head cold,cohort
abcess,abscess,biosample
acracas,carcass,biosample
ainse,anise,biosample
ajwam,ajwain,biosample
aligator,alligator,biosample
all in on,all in one,biosample
anis,anise,biosample
aniseed,anise seed,biosample
annato,annatto,biosample
avacado,avocado,biosample
avocaco,avocado,biosample
avocodo,avocado,biosample
beast,breast,biosample
caguht,caught,biosample
canius lupus,canus lupus,biosample
cantelope,cantaloupe,biosample
cantoloupes,cantaloupe,biosample
carcasse,carcass,biosample
carcus,carcass,biosample
catfood,cat food,biosample
cerasse,cerasee,biosample
chichen,chicken,biosample
chiken,chicken,biosample
chikn,chicken,biosample
chile,chili,biosample
chilli,chili,biosample
chillie ,chili,biosample
chillies,chili,biosample
chilliy,chili,biosample
chilly,chili,biosample
chily,chili,biosample
clarius,clarias,biosample
cloacalswab,cloacal swab,biosample
colostrium,clostridium,biosample
cornsnake,corn snake,biosample
corriander,coriander,biosample
corriender,coriander,biosample
crabcake,crab cake,biosample
crabmeat,crab meat,biosample
croquet,croquette,biosample
cucmber,cucumber,biosample
culantro,cliantro,biosample
desicated,desiccated,biosample
envirnoment,environment,biosample
environemnet,environment,biosample
environemnt,environment,biosample
escargo,escargot,biosample
fallus,gallus,biosample
feaces,faeces,biosample
felien,feline,biosample
flatbread,flat bread,biosample
flaxseed,flax seed,biosample
gobi,goby,biosample
guacomole,guacamole,biosample
habenero,habanero,biosample
hamburguer,hamburger,biosample
hampster,hamster,biosample
headle,headless,biosample
intestin,intestine,biosample
jalepeno,jalapeno,biosample
jerkey,jerky,biosample
kohlrabi,kolarabi,biosample
Laboratroy,Laboratory,biosample
linph,lymph,biosample
lntestine,intestine,biosample
lntnestine,intestine,biosample
lobstermeat,lobster meat,biosample
lunchmeat,lunch meat,biosample
lypmth ,lymph ,biosample
madres,madras,biosample
makarel,mackeral,biosample
masla,masala,biosample
mungbean,mung bean,biosample
mus moluscus,mus musculus,biosample
oppossum,opossum,biosample
opposum,opossum,biosample
oregno,oregano,biosample
parsely,parsley,biosample
pinenut,pine nut,biosample
pinenuts,pine nuts,biosample
pisachio,pistachio,biosample
pistacchio,pistachio,biosample
pistactio,pistachio,biosample
podwer,powder,biosample
pompfret,pomfret,biosample
pompret,pomfret,biosample
popano,pompano,biosample
rasied,raised,biosample
river bard,river barb,biosample
roast beast,roast breast,biosample
sausahe,sausage,biosample
scape,scrape,biosample
scraps,scrapes,biosample
seasame,sesame,biosample
sewater,sea water,biosample
shellon,shell on,biosample
shinny,shiny,biosample
shirmp,shrimp,biosample
shreat ,sheat ,biosample
songesicles,sponge sicles,biosample
spaien,sapiens,biosample
spaiens,sapiens,biosample
spicey,spicy,biosample
spongesicles,sponge sicles,biosample
swaison,swainson,biosample
talapia,tilapia,biosample
tauras,taurus,biosample
threadbib,threadfin,biosample
tomatoe,tomato,biosample
tomoato,tomato,biosample
tomoatoes,tomatoes,biosample
travelly,trevelly,biosample
treadfin,threadfin,biosample
trumeric,turmeric,biosample
tumeric,turmeric,biosample
turmaric,turmeric,biosample
wasterwater,wastewater,biosample
wastewater,waste water,biosample
xilver,silver,biosample
zaocus,zaocys,biosample
cole slaw,coleslaw,biosample
noodles,noodle,biosample
salmo,salmon,biosample
fod,food,biosample
bos tautus,bos taurus,biosample
bos tauris,bos taurus,biosample
corn dog,corn hotdog,biosample
chili dog,chili hotdog,biosample
sandiwch,sandwich,biosample
pleurafluid,pleura fluid,biosample
BeefCarcTrim,Beef Carcass Trim,biosample
supplemen,supplement,biosample
Bovino,Bovine,biosample
Environ,Environmental,biosample
Environmenal,Environmental,biosample
Romain,Romaine,biosample
housefly,house fly,biosample
shimp,shrimp,biosample
pregnacy,pregnancy,biosample
za???tar,zaatar,biosample
suplement,supplement,biosample
kangroo,kangaroo,biosample
kanagroo,kangaroo,biosample
cordon bleu,Cordon bleu,biosample
enivornmental,environmental,biosample
environmenta,environmental,biosample
environmentla,environmental,biosample
evironmental,environmental,biosample
enivronmental,environmental,biosample
enivironmental,environmental,biosample
environmnetal,environmental,biosample
bott,bok,biosample
balogna,bologna,biosample
bolagna,bologna,biosample
malawa,halawa,biosample
chese,cheese,biosample
chees,cheese,biosample
HamCheese,ham cheese,biosample
montecristo,monte cristo,biosample
equip,equipment,biosample
lemongrass,lemon grass,biosample
pomfet,pomfret,biosample
pomfert,pomfret,biosample
pomret,pomfret,biosample
canius,canis,biosample
omlett,omelette,biosample
omellette,omelette,biosample
omellet,omelette,biosample
caeser,ceasar,biosample
cesar,ceasar,biosample
espreso,espresso,biosample
expresso,espresso,biosample
fetuccine,fettuccine,biosample
fettucine,fettuccine,biosample
fetucine,fettuccine,biosample
fettuccini,fettuccine,biosample
capuccino,cappuccino,biosample
cappucino,cappuccino,biosample
capucino,cappuccino,biosample
brocolli,broccoli,biosample
brroccoli,broccoli,biosample
brocoli,broccoli,biosample
brrocoli,broccoli,biosample
zuchini,zucchini,biosample
zucchinni,zucchini,biosample
jucchini,zucchini,biosample
chipolte,chipotle,biosample
macoroni,macaroni,biosample
maccaroni,macaroni,biosample
restauranteur,restaurateur,biosample
sandwitch,sandwich,biosample
caramal,caramel,biosample
cheddre,cheddar,biosample
chedar,cheddar,biosample
chedder,cheddar,biosample
tauris,taurus,biosample
cecum,caecum,biosample
caeca,caecum,biosample
cacum,caecum,biosample
Canus,canis,biosample
Carcase,carcass,biosample
perionitis,peritonitis,biosample
uterius,uterus,biosample
pyhon,python,biosample
Mispelled Word,Probable Word,Domain
cliantro,cilantro,biosample
tautus,taurus,biosample
tauris,taurus,biosample
Boving,bovine,biosample
Porcing,porcine,biosample
porsine,porcine,biosample
Meat and bone mean,Meat and bone meal,biosample
tukey,turkey,biosample
bard fish,barb fish,biosample
Chees,cheese,biosample
deli meet,deli meat,biosample
swib,swab,biosample
swub,swab,biosample
sawb,swab,biosample
imitaton,imitation,biosample
deismillo,diesmillo,biosample
caneloupe,cantaloupe,biosample
cantoloupe,cantaloupe,biosample
chamelion,chameleon,biosample
dani koral,dhani koral,biosample
Utazi,ukazi,biosample
tahinia,tahina,biosample
